Time (s),Current (A)
2.659999999999994e-10,9.517154814172788e-21
2.669999999999994e-10,1.0472221406440128e-20
2.679999999999994e-10,1.1444043552957771e-20
2.689999999999994e-10,1.2189665717096309e-20
2.699999999999994e-10,1.2491265693601784e-20
2.709999999999994e-10,1.2399110145225111e-20
2.7199999999999937e-10,1.2281821265472981e-20
2.7299999999999937e-10,1.2172910162846004e-20
2.7399999999999936e-10,1.208075461446933e-20
2.7499999999999936e-10,1.2030487951718418e-20
2.7599999999999936e-10,1.1971843511842353e-20
2.7699999999999935e-10,1.1929954626216594e-20
2.7799999999999935e-10,1.1904821294841137e-20
2.7899999999999935e-10,1.1821043523589615e-20
2.7999999999999934e-10,1.1737265752338094e-20
2.8099999999999934e-10,1.1661865758211725e-20
2.8199999999999934e-10,1.159484354121051e-20
2.8299999999999933e-10,1.1536199101334444e-20
2.8399999999999933e-10,1.1511065769958989e-20
2.8499999999999933e-10,1.1494310215708684e-20
2.859999999999993e-10,1.1460799107208076e-20
2.869999999999993e-10,1.1452421330082923e-20
2.879999999999993e-10,1.1444043552957771e-20
2.889999999999993e-10,1.1452421330082923e-20
2.899999999999993e-10,1.1393776890206859e-20
2.909999999999993e-10,1.1377021335956554e-20
2.919999999999993e-10,1.1368643558831402e-20
2.929999999999993e-10,1.1427287998707466e-20
2.939999999999993e-10,1.1527821324209292e-20
2.949999999999993e-10,1.1611599095460813e-20
2.959999999999993e-10,1.1745643529463248e-20
2.969999999999993e-10,1.1904821294841137e-20
2.979999999999993e-10,1.2072376837344179e-20
2.989999999999993e-10,1.227344348834783e-20
2.999999999999993e-10,1.2499643470726935e-20
3.0099999999999927e-10,1.2667199013229978e-20
3.0199999999999927e-10,1.2767732338731804e-20
3.0299999999999926e-10,1.2767732338731804e-20
3.0399999999999926e-10,1.279286567010726e-20
3.0499999999999926e-10,1.283475455573302e-20
3.0599999999999925e-10,1.2893398995609085e-20
3.0699999999999925e-10,1.2935287881234845e-20
3.0799999999999925e-10,1.2960421212610301e-20
3.0899999999999924e-10,1.2977176766860606e-20
3.0999999999999924e-10,1.2968798989735453e-20
3.1099999999999924e-10,1.295204343548515e-20
3.1199999999999923e-10,1.2901776772734237e-20
3.1299999999999923e-10,1.2843132332858173e-20
3.1399999999999923e-10,1.275935456160665e-20
3.149999999999992e-10,1.2717465675980891e-20
3.159999999999992e-10,1.2700710121730586e-20
3.169999999999992e-10,1.2683954567480283e-20
3.179999999999992e-10,1.2700710121730586e-20
3.189999999999992e-10,1.2700710121730586e-20
3.199999999999992e-10,1.2667199013229978e-20
3.209999999999992e-10,1.2642065681854522e-20
3.219999999999992e-10,1.2575043464853304e-20
3.229999999999992e-10,1.2533154579227545e-20
3.239999999999992e-10,1.2482887916476632e-20
3.249999999999992e-10,1.2499643470726935e-20
3.259999999999992e-10,1.2499643470726935e-20
3.269999999999992e-10,1.251639902497724e-20
3.279999999999992e-10,1.2549910133477848e-20
3.2899999999999917e-10,1.2566665687728153e-20
3.2999999999999917e-10,1.2583421241978458e-20
3.3099999999999917e-10,1.2583421241978458e-20
3.3199999999999916e-10,1.2583421241978458e-20
3.3299999999999916e-10,1.2549910133477848e-20
3.3399999999999916e-10,1.2482887916476632e-20
3.3499999999999915e-10,1.2382354590974807e-20
3.3599999999999915e-10,1.2265065711222676e-20
3.3699999999999915e-10,1.21561546085957e-20
3.3799999999999914e-10,1.2097510168719635e-20
3.3899999999999914e-10,1.2105887945844787e-20
3.3999999999999914e-10,1.2097510168719635e-20
3.4099999999999913e-10,1.2089132391594483e-20
3.4199999999999913e-10,1.2089132391594483e-20
3.429999999999991e-10,1.2097510168719635e-20
3.439999999999991e-10,1.2089132391594483e-20
3.449999999999991e-10,1.2097510168719635e-20
3.459999999999991e-10,1.2105887945844787e-20
